'Bible Coloring'은 성경의 아름다운 이야기를 체험 할 수 있는 컬러링 앱입니다.,Bible Coloring' is a coloring application that allows you to experience beautiful stories in the Bible.
씨티은행에서 일하세요?,Do you work at a City bank?
푸리토의 베스트셀러는 해외에서 입소문만으로 4차 완판을 기록하였다.,"PURITO's bestseller, which recorded 4th rough -cuts by words of mouth from abroad."
11장에서는 예수님이 이번엔 나사로를 무덤에서 불러내어 죽은 자 가운데서 살리셨습니다.,In Chapter 11 Jesus called Lazarus from the tomb and raised him from the dead.
"6.5, 7, 8 사이즈가 몇 개나 더 재입고 될지 제게 알려주시면 감사하겠습니다.","I would feel grateful to know how many stocks will be secured of size 6.5, 7, and 8."
F/W 겐조타이거 키즈와 그리고 이번에 주문한 키즈 중 부족한 수량에 대한 환불입니다.,"18fw Kenzo Tiger Kids, and refund for lacking quantity of Kids which was ordered this time."
강아지들과 내 사진을 보낼게.,And I'll send you a picture of me and my dogs.
그 수익금 중 일부를 위안부 할머니들을 위해 쓰고 그들을 위해 여러 가지 캠페인을 벌이고 있습니다.,"Part of profits are used for the comfort women, and it is holding various campaigns for them."
그들은 내가 잘하는 것을 바탕으로 별명을 사용하고 있기 때문에 나는 사람들이 치타라고 불러주면 기분이 좋아.,I feel happy when people call me cheetah because they are using a nickname based on something that I am good at.
그러므로 실제로 컴퓨터 프로그램을 만든 사람이 프로그램에 대한 저작자가 돼요.,"So, a person who made a computer program actually becomes an author of that computer program."
나는 친구에게 그 철학자의 책을 선물해 주겠다고 말했습니다.,I told my friends that I will give you the philosopher's book as a gift.
나머지 사진은 내 친구들이야.,And the rest of the pictures are my friends.
나머지 시간에는 공부해요.,I study for the rest of the time.
네가 하는 일과 공부 잘하길 멀리서 응원할게.,I will cheer you on your work and your grade from far away.
다른 선수들이 몬스터를 사냥할 경우 당신은 추가 경험치를 획득해요.,"If other players hunt monsters, you gain additional experience."
당신에게 영화관 티켓을 그냥 보여 주면 되나요?,Can I just show you my ticket to the movie theater?
마치 목욕탕 창구처럼 보일까말까 한 작은 구멍으로 내가 돈을 주면 그 여자가 교통카드를 충전시켜주었던 기억이 납니다.,"I remember that the person recharged my transportation card when I gave her money through a tiny hole, just like the ticket office for the public bath."
문화뿐만 아니라 그 나라만의 독특한 사회 전체의 유기적 관계를 알 수 있습니다.,"Not only the culture, but we can also learn about the unique organic relationships in the entire society."
"얼마 전 가진 A사와의 회의 결과, 본계약의 계약 시점은 약간 지연된다고 합니다.","As a result of the meeting with A company that we recently had, the contract time will be postponed a bit."
에어비앤비 투어 서비스를 운영자의 프로필 사진을 촬영하고 이야기를 정리해 사이트에 소개하려해요.,I would take pictures of tour administrators and arrange their stories and introduce them to the website.
"이 제품을 사용할 때 예기치 않은 추락의 경우를 고려하면, 안전을 생각하여 잔디밭이 필요합니다.","Also, this product needs a grass field for safety considering unexpected falls."
익스프레스 수분 마스크는 생기와 활력을 불어넣어 빛나는 피부를 선사해줘요.,Express moisture mask that presents radiant skin to give vigor and vitality.
저는 전 주 문건에 대해서는 어떻게 취소를 해야 할지 모르겠습니다.,I don’t know how to cancel the orders I have previously made.
저희 섹시 큐트 메이크업 머신을 사용할 때 2분에서 5분 정도의 시간이 소요돼요.,It takes 2 to 5 minutes to use our sexy cute makeup machine.
정부가 국민의 건강을 챙기는 것은 반드시 해야 할 일이라고 생각해요.,I think it is a must for the government to take care of its people's health.
제가 어렸을 때 우연히 TV에서 박지성 선수가 축구 경기를 하는 모습을 보았어요.,I accidentally watched him play soccer on TV when I was very young.
제품이 생각보다 훨씬 맘에 듭니다.,The product is much better than I thought.
좀 더 확실한 대응과 확인을 위해 A 모델 새 제품 6대를 불량 시료와 함께 보내주길 바랍니다.,I would like you to send six new models of A model together with the defective samples for more reliable response and confirmation.
"지난해 대학수학능력시험에서 예술과 인문계 학생 32명, 자연계 학생 1명이 만점을 받았습니다.","32 students from the art and humanity, 1 student from the natural sciences got the perfect score in the College Scholastic Ability Test last year."
청인은 NBP는 키워드 광고대행사 간 기존 광고주의 이동을 제한하는 행위를 중지하고 관련 영업정책을 폐지해야 해요.,Applicant NBP has to stop actions to limit the transfer of existing advertisers between keyword ads agency and abolish the relevant operating policies.
추가로 작성해서 내일까지 보내줄게요.,I'll fill it out and send it to you by tomorrow.
학교와 너무 멀기 때문에 저는 지금은 기숙사에서 생활하고 있습니다.,"Because the school is too far away, I live in a dormitory."
한국에 오기 전에 은행 카드는 부모님에게 주고 와.,"Before you come in Korea, give the bank card to parents."
한국에 폭설로 인해 비행기가 이륙하지 못하여 배송이 늦어졌습니다.,"Since flights were canceled due to heavy snow in Korea, delivery was delayed."
"항상 당당하고, 잘 웃고 솔선수범한 사원이 되도록 노력하겠습니다.","I will always make my best efforts to become a staff who has a confident mind, a smile on face and take a lead for all kinds of works."
호텔식 고급매트리스와 3~4일에 한 번씩 교체하는 토퍼 및 침구류를 포함한 2개의 싱글 침대가 있습니다.,"There are 2 single beds, including a hotel luxury mattress and a topper and bed linen changing every 3-4 days."
"밑창 주성분은 PVC이고, 겉에 발려진 검정 색상은 다른 물질로 보인다.","The outsole's primary material is PVC, and the black color on the outer seems to be of another material."
우리는 언제나 서로를 사랑하려고 노력해요.,We always try and show our love for each other.
"다른 판매자의 상품을 봤는데, 구멍이 있었어요.","I saw another seller's product, and it had some holes."
"""먹방""은 ""먹는 방송""이라는 한국말의 줄임말로 한국 방송계에 혜성처럼 등장한 새로운 트렌드예요.","""Meok-Bang,"" is a short form for a Korean phrase meaning ""Food Show,"" has emerged like a comet to the broadcasting industry of Korea and is now a hot trend."
"""유괴""는 스코틀랜드를 배경으로 한 모험 소설이며 문학적 완성도 또한 높은 소설이에요.","""Kidnapped"" is an adventure story set in Scotland with high literary significance."
"100년 안에 인류가 인공지능을 갖춘 기계에 종속되고, 결국 멸망에 이를 것입니다.",In 100 years human beings would be subordinated to AI and face their ruin.
"""A"" 에는 10개의 컴퓨터가 ""준비""되었습니다고 나와 있는데 현재 9개밖에 업데이트 되지 않았습니다.","""A,"" says 10computers are ""ready"" and only 9 are currently updated."
"""A""가 ""D""를 퇴사하면서 관련 사업을 어떻게 정리하였는지는 모릅니다.",We do not know how A concluded the business while resigning from D.
"""Auto""는 번역을 도와주기 위해 제공하는 자동번역기능입니다.",“Auto” is an automatic translation function to help provide the translation.
"저는 ""rush""를 신청했는데요.","I've signed up for ""rush""."
"""TITLE"" 디자인에 판넬 2번 페이지를 변경해주실 수 있나요?","Could you change panel page no.2 of ""TITLE"" design?"
"""TRA""라는 태그의 값에 A로 시작하는 것은, 우리측에서 ""ADY""와 연결되어있습니다.","A thing which starts with A among ""Tra"" tag is connected with ""ADY"" to us."
"""골프가 좋아서""라고 답했지만, 순간 교육적으로 좋은 대답은 아니라고 생각했어요.","Although I said because I love golf, I realized it was not an education-wise good answer."
"""공식 초청 레터"" 받는 데는 얼마나 걸립니까?","How long would the ""official invitation letter"" take?"
